;artist_name;link;nationality;birth;demise
198;Alvarez Bravo, Manuel;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=16466;Mexican;1902;2002
199;Alvise dal Friso;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=25316;Italian;c. 1544;1609
200;Alward, Linnet;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=7206;American;active c. 1935;Unknown
201;Amadei, Amadio;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2003;Italian;died c. 1483;Unknown
202;Amadei, Filippo;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=24038;Italian;active 1690;1730
203;Amadeo, Giovanni Antonio;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=2002;Italian;c. 1447;1522
204;Amand, Jacques-François;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=22884;Unknown;Unknown;Unknown
205;Aman-Jean, Edmond;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=2893;French;1860;1936
206;Aman-Jean, Edmond-François;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=2893;French;1860;1936
207;Amann, Hans;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=20003;German;active second half 16th century;Unknown
208;Amantea, Nicholas;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=7207;American;1900;1978
209;Amantius, Bartholomeus;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=34758;Unknown;Unknown;Unknown
210;Amato, Francesco;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=6954;Italian;active 1650;Unknown
211;Ambrogio da Fossano;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=985;Italian;c. 1453;1523
212;Amedei, Amadio, called Amadio da Milano;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=2003;Italian;died c. 1483;Unknown
213;Amello, Nancy;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=10177;American;active 1981;Unknown
214;Amen, Irving;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=26214;American;born 1918;Unknown
215;Amenoff, Gregory;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=23735;American;born 1948;Unknown
216;American 18th Century;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=2818;Unknown;Unknown;Unknown
217;American 19th Century;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=1942;Unknown;Unknown;Unknown
218;American 20th Century;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=2819;Unknown;Unknown;Unknown
219;Amero, Emilio;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=2894;Mexican;born 1900;Unknown
220;Ames, Ezra;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=80;American;1768;1836
221;Ames, Joseph Alexander;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=85;American;1816;1872
222;Amico, Bernardino;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=6965;Italian;active 1620;Unknown
223;Amiconi, Santiago;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=5863;Italian;1675;1752
224;Amiet, Cuno;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=14330;Swiss;1868;1961
225;Amigoni, Jacopo;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=5863;Italian;1675;1752
226;Amling, Carl Gustav;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=20710;German;before 1650;1703
227;Amling, Karl Gustav von;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=20710;German;before 1650;1703
228;Amman, Jobst;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=2347;Swiss;1539;1591
229;Amman, Jost;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=2347;Swiss;1539;1591
230;Ammon, Klemens;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=6165;German;active 17th century;Unknown
231;Amsler & Ruthardt;https://web.archive.org/web/20121010213054/http://www.nga.gov/cgi-bin/tsearch?artistid=30923;Unknown;Unknown;Unknown
232;Anacreon;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=6966;Greek;born c. 570 B.C.;Unknown
233;Anastasi, William;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=22097;American;born 1933;Unknown
234;Anchel, Harold;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=33119;American;born 1937;Unknown
235;Ancourt, Edouard;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=22920;French;active 1860s/1890s;Unknown
236;Anderle, Jirí;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=2895;Czech;born 1936;Unknown
237;Andersen, Niels Yde;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=2896;American;born 1888;Unknown
238;Anderson, Alexander;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=7208;American;active c. 1935;Unknown
239;Anderson, Alfred Charles Stanley;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=2898;British;1884;1966
240;Anderson, Carlos;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=33120;American;1905;1978
241;Anderson, Clarence William;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=2897;American;1891;1971
242;Anderson, Elmer G.;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=7209;American;active c. 1935;Unknown
243;Anderson, Frank Hartley;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=33121;American;1890;1947
244;Anderson, Hjordis (Ethel);https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=33131;American;1916;1983
245;Anderson, James;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=21330;British;1813;1877
246;Anderson, John O.;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=34593;American;active 1880;1892
247;Anderson, Paul L.;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=27004;American;1880;1956
248;Anderson, Stanley;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=2898;British;1884;1966
249;Anderson, Steve;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=30358;Unknown;Unknown;Unknown
250;Anderson, Therkel;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=7210;American;active c. 1935;Unknown
251;Anderson, Walter;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=27963;American;1903;1965
252;Anderson, Walter Inglis;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=27963;American;1903;1965
253;Andersson, Mamma;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=35992;Swedish;born 1962;Unknown
254;Andlau, Helene d';https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=2899;French;born 1919;Unknown
255;Ando, Chieko;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=2900;Japanese;active 20th century;Unknown
256;Andoe, Joe;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=23119;American;born 1955;Unknown
257;Andr. Cramerus Iun. Magdeb.;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=6366;Unknown;Unknown;Unknown
258;André, Albert;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=19442;French;1869;1954
259;André, Alfred;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=9535;French;1839;1919
260;Andre, Carl;https://web.archive.org/web/20121010213240/http://www.nga.gov/cgi-bin/tsearch?artistid=6947;American;born 1935;Unknown
261;Andrea, Nicolaus;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=27000;German;active c. 1573;1606
262;Andrea, Zoan;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=2902;Italian;active c. 1475/1519;Unknown
263;Andrea d'Agnolo;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=1859;Italian;1486;1530
264;Andrea del Castagno;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=1109;Italian;before 1419;1457
265;Andrea di Bartolo;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=91;Italian;active  from 1389;died 1428
266;Andrea di Cione;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=5527;Italian;active 1343;1368
267;Andreani, Andrea;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=2903;Italian;1558/1559;1629
268;Andre-Bardon, Michel-Francois d';https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=1206;French;1700;1783
269;Andree, Johann Anton;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=2901;German;1775;1842
270;Andreoli, Giorgio di Pietro;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=2312;Italian;c. 1465/1470;c. 1553
271;Andreoli, Vincenzo;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=9911;Unknown;Unknown;Unknown
272;Andreoli of Gubbio, Giorgio, Maestro;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=2312;Italian;c. 1465/1470;c. 1553
273;Andreu, Mariano;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=2904;Spanish;born 1888;Unknown
274;Andrew, George T.;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=6425;American;1843;active 1881
275;Andrew, John;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=6456;American;1815;1870
276;Andrews, Julia;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=2905;American;active 20th century;Unknown
277;Andrews, Mari;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=17022;Unknown;Unknown;Unknown
278;Andrews, Sybil;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=22855;British;1898;1992
279;Andrieu, Pierre;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=24169;French;1821;1892
280;Androuet du Cerceau I, Jacques;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=2480;French;1520;1585/1586
281;Andrus, James Roman;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=33122;American;1907;1993
282;Andrus, Vera;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=33123;American;1896;1979
283;Anet, Claude;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=30077;Swiss;1868;1931
284;Angarola, Anthony;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=33124;American;1893;1929
285;Angeli, Battista dell';https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=10543;Italian;c. 1515;1573
286;Angeli, Giuseppe;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=6896;Italian;1712;1798
287;Angelico, Fra;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=99;Italian;c. 1395;1455
288;Angelis, Pietro de;https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=22622;Italian;c. 1730s;1800 or later
289;Angelo, Battista dell';https://web.archive.org/web/20121010213124/http://www.nga.gov/cgi-bin/tsearch?artistid=10543;Italian;c. 1515;1573
290;Angelo, Michael Valenti;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=33132;American;1897;1982
291;Angelo, Valenti;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=33132;American;1897;1982
292;Angeloch, Robert;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=35234;American;born 1922;Unknown
293;Angolo del Moro, Battista;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=10543;Italian;c. 1515;1573
294;Anguier, Michel;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=6644;French;1612;1686
295;Angulo, Jaime de;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=23778;American;1887;1950
296;Angus, Charlotte;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=7211;American;1911;1989
297;Angus, William;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=11632;British;1751 or 1752;1821
298;Anisfield, Boris;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=34618;American;1897;1973
299;Annan, James Craig;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=33267;British;1864;1946
300;Annan, Thomas;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=16460;Scottish;1829;1887
301;Annanel, M.;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=34594;Unknown;Unknown;Unknown
302;Annette, Ina;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=33133;American;1901;1990
303;Annino, Louis;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=7212;American;active c. 1935;Unknown
304;Annis, W.T.;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=2907;British;active early 19th century;Unknown
305;Anonymous American 18th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=2818;Unknown;Unknown;Unknown
306;Anonymous American 19th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=1942;Unknown;Unknown;Unknown
307;Anonymous American 20th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=2819;Unknown;Unknown;Unknown
308;Anonymous Antwerp 16th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=8347;Unknown;Unknown;Unknown
309;Anonymous Artist;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=13;Unknown;Unknown;Unknown
310;Anonymous Augsburg 16th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=10068;Unknown;Unknown;Unknown
311;Anonymous Austrian 12th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=2820;Unknown;Unknown;Unknown
312;Anonymous Austrian 14th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=9802;Unknown;Unknown;Unknown
313;Anonymous Austrian 15th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=2821;Unknown;Unknown;Unknown
314;Anonymous Austrian 16th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=2010;Unknown;Unknown;Unknown
315;Anonymous Austrian 17th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=2822;Unknown;Unknown;Unknown
316;Anonymous Austrian 18th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=6685;Unknown;Unknown;Unknown
317;Anonymous Belgian 19th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=6710;Unknown;Unknown;Unknown
318;Anonymous Bohemian 15th Century;https://web.archive.org/web/20121010213008/http://www.nga.gov/cgi-bin/tsearch?artistid=6692;Unknown;Unknown;Unknown
319;Anonymous Bohemian 17th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=14203;Unknown;Unknown;Unknown
320;Anonymous Bolognese 15th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8303;Unknown;Unknown;Unknown
321;Anonymous Bolognese 16th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8322;Unknown;Unknown;Unknown
322;Anonymous British 16th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=2823;Unknown;Unknown;Unknown
323;Anonymous British 17th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=2824;Unknown;Unknown;Unknown
324;Anonymous British 18th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=2825;Unknown;Unknown;Unknown
325;Anonymous British 19th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=2826;Unknown;Unknown;Unknown
326;Anonymous British 20th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=2308;Unknown;Unknown;Unknown
327;Anonymous Bulgarian 19th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=2827;Unknown;Unknown;Unknown
328;Anonymous Byzantine 13th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=1059;Unknown;Unknown;Unknown
329;Anonymous Carmagnola 15th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8302;Unknown;Unknown;Unknown
330;Anonymous Central Italian 15th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8307;Unknown;Unknown;Unknown
331;Anonymous Central Italian 16th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8326;Unknown;Unknown;Unknown
332;Anonymous Chinese Liao Dynasty;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8357;Unknown;Unknown;Unknown
333;Anonymous Chinese Ming Dynasty;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8361;Unknown;Unknown;Unknown
334;Anonymous Chinese Northern Song Dynasty;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8359;Unknown;Unknown;Unknown
335;Anonymous Chinese Qing Dynasty;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8362;Unknown;Unknown;Unknown
336;Anonymous Chinese Republic;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8363;Unknown;Unknown;Unknown
337;Anonymous Chinese Song Dynasty;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8358;Unknown;Unknown;Unknown
338;Anonymous Chinese Southern Song Dynasty;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8360;Unknown;Unknown;Unknown
339;Anonymous Chinese Tang Dynasty;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8356;Unknown;Unknown;Unknown
340;Anonymous Deruta 16th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=6951;Unknown;Unknown;Unknown
341;Anonymous Dutch 16th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=10631;Unknown;Unknown;Unknown
342;Anonymous Dutch 17th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8351;Unknown;Unknown;Unknown
343;Anonymous Dutch 18th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8355;Unknown;Unknown;Unknown
344;Anonymous Egyptian 2nd Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=5555;Unknown;Unknown;Unknown
345;Anonymous Egyptian Ptolemaic Period;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=2093;Unknown;Unknown;Unknown
346;Anonymous Emilian 16th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=8314;Unknown;Unknown;Unknown
347;Anonymous English 12th Century;https://web.archive.org/web/20121010213149/http://www.nga.gov/cgi-bin/tsearch?artistid=4684;Unknown;Unknown;Unknown
348;Anonymous English 13th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=5482;Unknown;Unknown;Unknown
349;Anonymous English 14th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=2094;Unknown;Unknown;Unknown
350;Anonymous English 15th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=2095;Unknown;Unknown;Unknown
351;Anonymous Ethiopian 18th/20th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=2100;Unknown;Unknown;Unknown
352;Anonymous European 18th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=6890;Unknown;Unknown;Unknown
353;Anonymous Fabriczy;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=5638;Netherlandish;active second half 16th century;Unknown
354;Anonymous Ferrarese 15th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=8300;Unknown;Unknown;Unknown
355;Anonymous Ferrarese 16th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=8321;Unknown;Unknown;Unknown
356;Anonymous Flemish 15th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=8342;Unknown;Unknown;Unknown
357;Anonymous Flemish 16th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=8348;Unknown;Unknown;Unknown
358;Anonymous Flemish 17th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=8352;Unknown;Unknown;Unknown
359;Anonymous Florentine 15th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=8295;Italian;15th century;Unknown
360;Anonymous Florentine 16th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=8311;Italian;16th century;Unknown
361;Anonymous Florentine 19th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=8338;Italian;19th century;Unknown
362;Anonymous Franco-Flemish 15th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=8343;Unknown;Unknown;Unknown
363;Anonymous Franco-Flemish 16th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=8349;Unknown;Unknown;Unknown
364;Anonymous French 12th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=4678;Unknown;Unknown;Unknown
365;Anonymous French 13th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=4679;Unknown;Unknown;Unknown
366;Anonymous French 14th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=5548;Unknown;Unknown;Unknown
367;Anonymous French 15th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=2828;Unknown;Unknown;Unknown
368;Anonymous French 16th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=2829;Unknown;Unknown;Unknown
369;Anonymous French 17th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=2830;Unknown;Unknown;Unknown
370;Anonymous French 18th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=2831;Unknown;Unknown;Unknown
371;Anonymous French 19th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=2832;Unknown;Unknown;Unknown
372;Anonymous French 20th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=5635;Unknown;Unknown;Unknown
373;Anonymous German 12th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=4680;Unknown;Unknown;Unknown
374;Anonymous German 13th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=4681;Unknown;Unknown;Unknown
375;Anonymous German 14th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=2833;Unknown;Unknown;Unknown
376;Anonymous German 15th Century;https://web.archive.org/web/20121010213127/http://www.nga.gov/cgi-bin/tsearch?artistid=2834;Unknown;Unknown;Unknown
377;Anonymous German 16th Century;https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=2835;Unknown;Unknown;Unknown
378;Anonymous German 17th Century;https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=2836;Unknown;Unknown;Unknown
379;Anonymous German 18th Century;https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=2837;Unknown;Unknown;Unknown
380;Anonymous German 19th Century;https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=2838;Unknown;Unknown;Unknown
381;Anonymous German 20th Century;https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=2839;Unknown;Unknown;Unknown
382;Anonymous Gubbio 16th Century;https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=6952;Unknown;Unknown;Unknown
383;Anonymous Hellenistic 2nd Century B.C./1st Century A.D;https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=6697;Unknown;Unknown;Unknown
384;Anonymous Isfahan 17th Century;https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=2841;Unknown;Unknown;Unknown
385;Anonymous Italian;https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=8364;Unknown;Unknown;Unknown
386;Anonymous Italian 11th Century;https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=8284;Unknown;Unknown;Unknown
387;Anonymous Italian 12th Century;https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=8285;Unknown;Unknown;Unknown
